City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
387,murgud,16.4,74.2,81.45,50,12,7.99,IN,1669697804
388,benghazi,32.1167,20.0667,61.9,73,26,7.31,LY,1669697880
389,ulladulla,-35.35,150.4667,64.81,58,13,11.83,AU,1669697955
390,namibe,-15.1961,12.1522,70.16,85,98,6.02,AO,1669697956
391,ponta delgada,37.7333,-25.6667,69.49,94,75,19.57,PT,1669697956
392,caravelas,-17.7125,-39.2481,73.35,92,100,8.48,BR,1669698032
393,bandrele,-12.9067,45.1914,82.15,69,40,10.36,YT,1669698107
394,ixtapa,20.7,-105.2,71.22,76,5,3.04,MX,1669698108
395,san francisco menendez,13.8431,-90.0158,72.48,92,100,5.41,SV,1669698036
396,petropavlovka,50.6114,105.3196,3.04,63,100,7.94,RU,1669698109
397,atar,20.5169,-13.0499,64.4,16,0,11.56,MR,1669698184
398,mirnyy,62.5353,113.9611,-20.67,97,32,3.24,RU,1669698260
399,ukiah,39.1502,-123.2078,44.44,84,38,4.29,US,1669697972
400,gat,31.61,34.7642,65.39,100,100,5.3,IL,1669698260
401,hovd,48.0056,91.6419,2.19,34,0,2.86,MN,1669698261
402,skjervoy,70.0311,20.9714,30.2,69,92,10.02,NO,1669698336
403,mutis,6.2262,-77.4044,74.71,92,100,6.67,CO,1669698202
404,singapore,1.2897,103.8501,87.84,74,40,9.22,SG,1669698140
405,allen,41.0706,-85.0144,43.18,86,100,5.75,US,1669698254
406,paracuru,-3.41,-39.0306,79.11,81,100,3.76,BR,1669698412
407,petropavlovsk-kamchatskiy,53.0452,158.6483,27.19,50,20,17.9,RU,1669698413
408,jaguarao,-32.5661,-53.3758,64.09,93,0,8.43,BR,1669698488
409,sungaipenuh,-2.0833,101.3833,75.13,77,86,3.6,ID,1669698489
410,culpeper,38.5004,-77.9664,44.83,86,75,0.0,US,1669698489
411,agadez,19.75,10.25,56.66,35,91,7.7,NE,1669698490
412,qaqortoq,60.7167,-46.0333,32.25,99,100,3.31,GL,1669698565
413,san javier,37.8063,-0.8374,55.13,48,0,7.0,ES,1669698640
414,grand-santi,4.25,-54.3833,72.54,98,99,2.01,GF,1669698641
415,rezekne,56.5,27.3167,28.44,97,100,3.89,LV,1669698622
416,auki,-8.7676,160.7034,80.13,82,100,2.21,SB,1669698642
417,tanete,-3.9443,119.7848,87.96,62,100,8.79,ID,1669698717
418,alyangula,-13.8483,136.4192,82.36,74,99,11.1,AU,1669698718
419,oriximina,-1.7656,-55.8661,73.9,94,96,4.14,BR,1669698718
420,nargana,9.4428,-78.5906,77.72,85,99,6.02,PA,1669698718
421,el tambo,1.4181,-77.3968,52.02,99,100,0.72,CO,1669698794
422,parabel,58.6978,81.4825,-9.62,92,96,6.04,RU,1669698794
423,dickinson,29.4608,-95.0513,67.15,94,100,3.44,US,1669698795
424,san cristobal,7.7669,-72.225,62.78,98,86,3.27,VE,1669698871
425,stornoway,58.2093,-6.3865,37.36,100,75,1.14,GB,1669698946
426,saint anthony,45.0205,-93.218,34.25,81,75,5.75,US,1669698947
427,chippewa falls,44.9369,-91.3929,37.58,77,0,0.0,US,1669698773
428,el alto,-4.2714,-81.2147,64.56,84,32,13.13,PE,1669698947
429,saint-augustin,51.226,-58.6502,24.33,88,100,18.57,CA,1669698948
430,terrace,54.5163,-128.6035,17.51,62,20,2.3,CA,1669699023
431,durban,-29.8579,31.0292,70.02,84,20,3.0,ZA,1669699024
432,talnakh,69.4865,88.3972,-9.31,99,100,7.47,RU,1669699024
433,hobyo,5.3505,48.5268,81.37,67,99,18.1,SO,1669699100
434,baie-saint-paul,47.4411,-70.4986,27.45,79,7,4.83,CA,1669699100
435,puerto escondido,15.85,-97.0667,77.99,83,83,3.71,MX,1669699100
436,chickasha,35.0526,-97.9364,59.16,58,0,23.02,US,1669699101
437,dhidhdhoo,6.8833,73.1,81.0,71,51,2.42,MV,1669699176
438,grand forks,47.9417,-97.4337,20.93,68,0,19.57,US,1669699177
439,cabedelo,-6.9811,-34.8339,77.67,80,98,8.93,BR,1669699177
440,tashtagol,52.7657,87.8894,3.63,69,57,1.03,RU,1669699178
441,ennis,52.8436,-8.9864,44.53,93,75,3.44,IE,1669698980
442,amboise,47.4125,0.9827,37.94,100,100,2.3,FR,1669699253
443,novo cruzeiro,-17.4681,-41.8753,65.01,98,100,1.66,BR,1669699254
444,manzhouli,49.6,117.4333,-9.45,86,64,20.33,CN,1669699254
445,bambanglipuro,-7.95,110.2833,82.24,74,98,10.33,ID,1669699330
446,barcelona,41.3888,2.159,51.55,76,20,8.05,ES,1669699082
447,ceper,-7.6742,110.6789,83.52,73,96,11.18,ID,1669699331
448,emba,48.8264,58.1442,19.56,54,100,16.28,KZ,1669699331
449,shenjiamen,29.9576,122.298,62.2,89,100,23.8,CN,1669699406
450,kampene,-3.6,26.6667,67.23,100,100,0.89,CD,1669699407
451,naze,28.3667,129.4833,77.92,83,99,15.9,JP,1669699408
452,rawson,-43.3002,-65.1023,71.26,34,30,15.5,AR,1669699237
453,san quintin,30.4833,-115.95,57.61,77,2,9.1,MX,1669699466
454,alofi,-19.0595,-169.9187,78.69,73,96,10.36,NU,1669699329
455,maumere,-8.6199,122.2111,83.53,75,72,5.97,ID,1669699559
456,kachug,53.9606,105.8817,-1.39,81,100,12.91,RU,1669699559
457,anage,-14.6122,-41.1356,69.78,97,100,0.98,BR,1669699634
458,gushikawa,26.3544,127.8686,81.99,75,0,14.97,JP,1669699635
459,zaysan,47.4667,84.8667,-6.39,83,16,2.71,KZ,1669699635
460,plymouth,41.8334,-70.8328,39.94,76,0,8.05,US,1669699467
461,flin flon,54.7682,-101.865,16.05,92,100,15.19,CA,1669699711
462,seredka,58.1584,28.1858,29.95,93,100,7.78,RU,1669699711
463,urdoma,61.7533,48.5442,14.4,96,99,4.54,RU,1669699712
